Timecode,WinLose,WinProb,Trial,Condition,Time,Post_spikes1,Post_spikes2,Post_spikes3,Post_spikes4,Post_spikes5,Post_spikes6,Post_spikes7,Post_spikes8,Post_spikes9,Post_spikes10,Post_spikes11,Post_spikes12,Post_spikes13,Post_spikes14,Post_spikes15,Post_spikes16,Post_spikes17,Post_spikes18,Post_spikes19,Post_spikes20,Post_spikes21,Post_spikes22,Post_spikes23,Post_spikes24,Post_spikes25,Post_spikes26,Post_spikes27,Post_spikes28,Post_spikes29,Post_spikes30,Post_spikes31,Post_spikes32,Post_spikes33,Post_spikes34,Post_spikes35,Post_spikes36,Post_spikes37,Post_spikes38,Post_spikes39,Post_spikes40,Post_spikes41,Post_spikes42,Post_spikes43,Post_spikes44,Post_spikes45,Post_spikes46,Post_spikes47,Post_spikes48,Post_spikes49,Post_spikes50,Post_spikes51
234482993,0,low,1,NonSocial,7155.85305786133,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,7,14,0,0,0,14,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234677114,0,low,2,NonSocial,7161.77716064453,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,17,0,2,0,10,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234871231,0,low,3,NonSocial,7167.70114135742,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,6,16,0,0,0,11,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235065355,0,low,4,NonSocial,7173.62533569336,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,4,5,5,0,0,0,3,1,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235259452,1,low,5,NonSocial,7179.54870605469,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,2,11,0,0,0,1,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235525652,0,low,6,NonSocial,7187.67248535156,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,1,4,8,0,1,2,6,3,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235769503,0,low,7,NonSocial,7195.11422729492,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,5,9,0,0,0,1,4,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235963611,0,low,8,NonSocial,7201.03793334961,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,5,10,7,0,0,0,7,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236157734,0,low,9,NonSocial,7206.96209716797,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,4,7,1,1,0,4,2,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236401544,0,low,10,NonSocial,7214.40258789062,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,3,1,5,0,2,0,3,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236595663,0,low,11,NonSocial,7220.32662963867,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,4,6,3,1,0,3,1,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236789788,0,low,12,NonSocial,7226.25085449219,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,3,9,0,0,2,6,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236983908,0,low,13,NonSocial,7232.17492675781,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,6,2,1,0,0,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237178001,1,low,14,NonSocial,7238.09817504883,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,7,5,0,1,0,5,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237421814,0,low,15,NonSocial,7245.53875732422,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,1,15,0,0,3,5,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237615935,1,low,16,NonSocial,7251.46286010742,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,4,7,1,0,0,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237810055,0,low,17,NonSocial,7257.38693237305,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,2,4,9,0,2,0,4,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238004207,0,low,18,NonSocial,7263.31198120117,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,3,18,1,0,0,16,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238198321,0,low,19,NonSocial,7269.23587036133,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,4,19,0,0,0,1,2,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238392444,0,low,20,NonSocial,7275.16003417969,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,6,4,14,0,0,0,0,2,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238656459,0,low,21,NonSocial,7283.21713256836,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,8,15,0,0,0,3,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238850579,0,low,22,NonSocial,7289.14120483398,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,6,12,1,3,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239044706,0,low,23,NonSocial,7295.06549072266,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,6,12,0,0,0,4,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239240234,0,low,24,NonSocial,7301.03253173828,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,5,12,0,0,0,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239434286,1,low,25,NonSocial,7306.95452880859,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,6,8,1,5,0,0,7,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239628406,0,low,26,NonSocial,7312.87860107422,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,4,15,1,1,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239822553,0,low,27,NonSocial,7318.80349731445,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,4,5,1,3,0,0,1,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240016673,0,low,28,NonSocial,7324.72756958008,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,12,0,0,0,1,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240210767,1,low,29,NonSocial,7330.65084838867,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,10,14,0,4,0,5,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240404888,0,low,30,NonSocial,7336.57495117188,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,3,6,0,1,0,1,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240599009,1,low,31,NonSocial,7342.49905395508,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,7,15,1,1,0,6,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240793130,0,low,32,NonSocial,7348.42315673828,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,13,1,1,0,3,2,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240987278,0,low,33,NonSocial,7354.34808349609,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,3,0,1,0,1,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241181397,0,low,34,NonSocial,7360.27212524414,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,5,7,1,0,0,7,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241380560,0,low,35,NonSocial,7366.35009765625,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,2,3,1,2,1,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
